model_id,url,task,parameters,updated,downloads,likes
baidu/ERNIE-4.5-21B-A3B-Thinking,https://huggingface.co/baidu/ERNIE-4.5-21B-A3B-Thinking,Text Generation,22B,2025-09-11,100000.0,665
tencent/HunyuanImage-2.1,https://huggingface.co/tencent/HunyuanImage-2.1,Text-to-Image,,2025-09-12,949.0,577
Qwen/Qwen3-Next-80B-A3B-Instruct,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct,Text Generation,81B,2025-09-12,142000.0,472
google/embeddinggemma-300m,https://huggingface.co/google/embeddinggemma-300m,Sentence Similarity,0.3B,2025-09-10,153000.0,769
tencent/SRPO,https://huggingface.co/tencent/SRPO,Text-to-Image,,2025-09-13,2530.0,357
Qwen/Qwen3-Next-80B-A3B-Thinking,https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Thinking,Text Generation,81B,2025-09-12,76400.0,314
LLM360/K2-Think,https://huggingface.co/LLM360/K2-Think,Text Generation,33B,2025-09-14,11000.0,250
IndexTeam/IndexTTS-2,https://huggingface.co/IndexTeam/IndexTTS-2,,,2025-09-08,3880.0,200
microsoft/VibeVoice-1.5B,https://huggingface.co/microsoft/VibeVoice-1.5B,Text-to-Speech,3B,2025-09-01,268000.0,1680
openbmb/MiniCPM4.1-8B,https://huggingface.co/openbmb/MiniCPM4.1-8B,Text Generation,8B,2025-09-12,2660.0,300
moonshotai/Kimi-K2-Instruct-0905,https://huggingface.co/moonshotai/Kimi-K2-Instruct-0905,Text Generation,,2025-09-05,38300.0,399
Qwen/Qwen-Image-Edit,https://huggingface.co/Qwen/Qwen-Image-Edit,Image-to-Image,,2025-08-25,237000.0,1810
inclusionAI/Ling-mini-2.0,https://huggingface.co/inclusionAI/Ling-mini-2.0,Text Generation,16B,2025-09-12,462.0,112
inclusionAI/Ring-mini-2.0,https://huggingface.co/inclusionAI/Ring-mini-2.0,Text Generation,16B,2025-09-12,183.0,107
facebook/MobileLLM-R1-950M,https://huggingface.co/facebook/MobileLLM-R1-950M,Text Generation,0.9B,2025-09-12,1310.0,99
bytedance-research/HuMo,https://huggingface.co/bytedance-research/HuMo,Image-to-Video,,2025-09-11,116.0,99
jhu-clsp/mmBERT-base,https://huggingface.co/jhu-clsp/mmBERT-base,Fill-Mask,,2025-09-12,7880.0,97
tencent/Hunyuan-MT-7B,https://huggingface.co/tencent/Hunyuan-MT-7B,Translation,8B,2025-09-08,8790.0,615
swiss-ai/Apertus-8B-Instruct-2509,https://huggingface.co/swiss-ai/Apertus-8B-Instruct-2509,Text Generation,8B,2025-09-05,140000.0,314
tencent/HunyuanWorld-Voyager,https://huggingface.co/tencent/HunyuanWorld-Voyager,Image-to-Video,,2025-09-04,4770.0,551
nunchaku-tech/nunchaku-qwen-image-edit,https://huggingface.co/nunchaku-tech/nunchaku-qwen-image-edit,Text-to-Image,,2025-09-11,26500.0,70
openai/gpt-oss-20b,https://huggingface.co/openai/gpt-oss-20b,Text Generation,22B,2025-08-26,8350000.0,3500
google/vaultgemma-1b,https://huggingface.co/google/vaultgemma-1b,Text Generation,1B,2025-09-12,560.0,68
unsloth/Qwen3-Next-80B-A3B-Instruct,https://huggingface.co/unsloth/Qwen3-Next-80B-A3B-Instruct,Text Generation,80B,2025-09-13,2029.0,63
openai/gpt-oss-120b,https://huggingface.co/openai/gpt-oss-120b,Text Generation,120B,2025-08-26,3320000.0,3830
Alpha-VLLM/Lumina-DiMOO,https://huggingface.co/Alpha-VLLM/Lumina-DiMOO,Any-to-Any,8B,2025-09-09,1380.0,62
apple/FastVLM-0.5B,https://huggingface.co/apple/FastVLM-0.5B,Text Generation,0.8B,2025-09-03,23800.0,305
black-forest-labs/FLUX.1-dev,https://huggingface.co/black-forest-labs/FLUX.1-dev,Text-to-Image,,2025-06-27,1510000.0,11400
pixai-labs/pixai-tagger-v0.9,https://huggingface.co/pixai-labs/pixai-tagger-v0.9,Image Classification,,2025-09-11,,55
ResembleAI/chatterbox,https://huggingface.co/ResembleAI/chatterbox,Text-to-Speech,,2025-09-04,871000.0,1130
